instrument_id,local_symbol,live_symbol
802,DORMANT -USD_802,Drm.802
803,DORMANT -USD_803,Drm.803
804,DORMANT -USD_804,Drm.804
805,DORMANT -USD_805,Drm.805
806,DORMANT -USD_806,Drm.806
807,DORMANT -USD_807,Drm.807
808,DORMANT -USD_808,Drm.808
809,DORMANT -USD_809,Drm.809
810,DORMANT -USD_810,Drm.810
811,DORMANT -USD_811,Drm.811
812,DORMANT -USD_812,Drm.812
813,DORMANT -USD_813,Drm.813
814,DORMANT -USD_814,Drm.814
815,DORMANT -USD_815,Drm.815
816,DORMANT -USD_816,Drm.816
817,DORMANT -USD_817,Drm.817
998,FIT,FUT_IDX_TEMP
999,FUTURES -USD,FUT_COM_TEMP
1002,GOOGL,GOOG
1006,AI,AABA
1007,ZYNGA,ZNGA
1008,ALCOA,AA
1009,AEC,AXP
1013,CSI,CSCO
1014,CVX,CVX.US
1015,DU-PON,DDOld
1016,WD,DIS
1017,GEC,GE
1018,HDI,HD
1019,HP,HPQ
1027,M&C,MRK
1029,P&GC,PG
1031,TRAVEL,TRV
1033,RAYTHE,RTX
1034,VERIZO,VZ
1035,WI,WMT
1038,HMCL,HMC
1039,HSBA.L,HSBC
1040,MU,MANU
1044,6758.T,SONY
1045,7203.T,TM
1047,VGP,VOD
1048,TIME-W,TWX
1049,DEUTSC,DB
1050,COLGAT,CL
1052,SIE.DE,SI.US
1053,NGN,NBIS
1054,QP,QIWI
1055,CML,CHL
1056,MI,MTBLY
1057,BOCI,OWL
1058,LBC,LBRDA
1059,LMC,FWONK
1060,KTI,KRTX
1061,SHI,SGFY
1062,OCHI,OPCH
1063,LHI,LNTH
1065,PHGI,PRVA
1066,PEC,BTU
1067,ZDI,ZD
1068,BRSI,BECN
1070,PTI,PTCT
1071,EC,ENVX
1072,AMRI,AMR
1073,CFI,CALM
1074,CNRI,CNR
1075,NC,NEOG
1076,VI,VERU
1077,STI,SIGA
1078,IS5,RSP
1080,I1Y,IGSB
1081,IME,MBB
1082,VST,VGSH
1083,DUC,DFAC
1084,SUL,SCHG
1086,I0Y,STIP
1087,FTV,FVD
1088,IRM,IWP
1089,I3Y,IEI
1091,VIT,VGIT
1093,IR3E,IWV
1096,SFU,FNDX
1097,I5Y,IGIB
1098,IFR,FLOT
1099,IOY,PDBC
1100,TAS,TEO
1101,TS,TX
1102,PBSP,PBR
1103,VS,VALE
