instrument_id,symbol,yfinance_symbol,resolved_symbol,rows,status
1000695,A4N.ASX,AHL.AX_1000695,A4N.AX,5,RESCUED (applied)
1000701,FFM.ASX,FML.AX_1000701,FFM.AX,5,RESCUED (applied)
1000714,XRF.ASX,XSL.AX,XRF.AX,5,RESCUED (applied)
1000726,SRG.ASX,SGL.AX_1000726,SRG.AX,5,RESCUED (applied)
1000754,EML.ASX,EPL.AX,EML.AX,5,RESCUED (applied)
1000762,SVM.ASX,SML.AX,SVM.AX,5,RESCUED (applied)
1000774,NGI.ASX,NGIL.AX,NGI.AX,5,RESCUED (applied)
1000786,PPS.ASX,PL.AX_1000786,PPS.AX,5,RESCUED (applied)
1000799,CYL.ASX,CML.AX_1000799,CYL.AX,5,RESCUED (applied)
1000806,SVR.ASX,SL.AX_1000806,SVR.AX,5,RESCUED (applied)
1000819,SVL.ASX,SML.AX_1000819,SVL.AX,5,RESCUED (applied)
1000845,AMI.ASX,AML.AX_1000845,AMI.AX,5,RESCUED (applied)
1000882,AZY.ASX,AML.AX_1000882,AZY.AX,5,RESCUED (applied)
1000890,SRL.ASX,SEML.AX,SRL.AX,5,RESCUED (applied)
1000891,CEL.ASX,CGL.AX_1000891,CEL.AX,5,RESCUED (applied)
1000894,ACF.ASX,AL.AX_1000894,ACF.AX,5,RESCUED (applied)
1000902,GEM.ASX,GEL.AX,GEM.AX,5,RESCUED (applied)
1000903,INR.ASX,IL.AX_1000903,INR.AX,5,RESCUED (applied)
1000910,SXE.ASX,SCE.AX,SXE.AX,5,RESCUED (applied)
1000940,MYS.ASX,ML.AX_1000940,MYS.AX,5,RESCUED (applied)
1000955,MMI.ASX,MML.AX_1000955,MMI.AX,5,RESCUED (applied)
1000960,AUC.ASX,AL.AX_1000960,AUC.AX,5,RESCUED (applied)
1000962,ZIP.ASX,ZCL.AX,ZIP.AX,5,RESCUED (applied)
1000982,CAY.ASX,CRL.AX,CAY.AX,5,RESCUED (applied)
1000989,IFT.ASX,IL.AX_1000989,IFT.AX,5,RESCUED (applied)
